feature,coefficient
incorporation_era_2010-2015,-1.0056305918367392
jurisdiction_simplified_Undetermined,-0.8384576395935697
incorporation_era_Unknown,-0.5259833346571706
source_simplified_Pandora Papers,-0.4773843036299454
incorporation_era_2000s,-0.4090622847970601
jurisdiction_simplified_Panama,-0.26731912907179556
jurisdiction_simplified_Other,-0.2437777056657817
jurisdiction_simplified_Cook Islands,-0.20716016118048292
jurisdiction_simplified_Hong Kong,-0.14713619104318248
jurisdiction_simplified_Cayman,-0.13754312280298542
jurisdiction_simplified_Singapore,-0.13418347293401167
jurisdiction_simplified_Labuan,-0.1274512417843049
officer_country_simplified_Jersey,-0.0909346802055171
incorporation_era_2016-2019,-0.07935143790720042
jurisdiction_simplified_Samoa,-0.07273383351208401
jurisdiction_simplified_Seychelles,-0.06998798990774319
jurisdiction_simplified_British Virgin Islands,-0.06736781584913418
jurisdiction_simplified_United Kingdom,-0.06647468113045603
incorporation_era_Pre-1990,-0.014968691286113313
jurisdiction_simplified_British Anguilla,-0.009096218151211938
officer_country_simplified_Hong Kong,-0.003926563626815266
jurisdiction_simplified_Nevada,-0.003734999234623939
incorporation_era_2020+,-0.0006555943557538563
officer_country_simplified_United Kingdom,0.020596595338637273
officer_country_simplified_Cyprus,0.028033234067186212
officer_country_simplified_Taiwan,0.045389749042778565
officer_country_simplified_Panama,0.07507859279302323
officer_country_simplified_Singapore,0.08734791756214526
officer_country_simplified_Samoa,0.11686840846107656
officer_country_simplified_China,0.1774814039639343
officer_country_simplified_Other/Unknown,0.6250401498974988
jurisdiction_simplified_Niue,0.7839686666360036
source_simplified_Panama Papers,4.594767479775889
