Intermediary,Country,Leak Source,Entities Brokered
MOSSACK FONSECA & CO. (BAHAMAS) LIMITED,Bahamas,Bahamas Leaks,14901
UBS TRUSTEES (BAHAMAS) LTD.,Bahamas,Bahamas Leaks,9717
CREDIT SUISSE TRUST LIMITED,Bahamas,Bahamas Leaks,8299
TRIDENT CORPORATE SERVICES (BAH) LTD,Bahamas,Bahamas Leaks,8286
MMG BAHAMAS LTD.,Bahamas,Bahamas Leaks,8149
ORION HOUSE SERVICES (HK) LIMITED,Hong Kong,Panama Papers,7016
Unitrust Corporate Services Ltd.,United Kingdom,Offshore Leaks,5699
K.M.C. CORPORATE SERVICES LTD.,Bahamas,Bahamas Leaks,5318
** DISABLED SUISSE SECURITY BANK & TRUST,Bahamas,Bahamas Leaks,5014
PRIVATE TRUST CORPORATION LIMITED,Bahamas,Bahamas Leaks,4995
